user_story_id,story_text,moscow_priority,importance_score,stakeholder_role,project_stage,iteration_count,feedback,sentiment,timeline_prediction,budget_prediction,actual_timeline,actual_budget,team_skills
2249,"As a developer, I must plan the sprint in order to meet deadlines.",Could,4,Product Owner,Sprint Planning,1,"The interface is user-friendly, but performance needs improvement.",Neutral,81.65,25389.33,89.03,25700.45,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'beginner'}"
2250,"As a designer, I wish to review requirements so I can enhance usability.",Must,2,Product Owner,Development,4,"Not satisfied with the outcome, requires a fix.",Neutral,95.86,23237.06,100.05,22975.54,"{'developer': 'intermediate', 'tester': 'beginner', 'manager': 'expert', 'designer': 'intermediate'}"
2251,"As a manager, I wish to design the interface so I can ensure quality.",Must,2,Manager,Deployment,3,We are satisfied with the current functionality.,Neutral,41.45,23553.63,41.49,25461.2,"{'developer': 'beginner', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'expert'}"
2252,"As a product owner, I wish to test the application thoroughly so I can enhance usability.",Should,8,Tester,Testing,4,Excellent implementation! Great work.,Neutral,30.47,30991.69,36.46,32875.01,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'expert'}"
2253,"As a product owner, I want to design the interface so that satisfy clients.",Must,7,Manager,Development,5,"The design aligns well with our goals, but testing needs more focus.",Neutral,103.9,51965.91,112.2,52306.63,"{'developer': 'expert', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'expert'}"
2254,"As a product owner, I must create detailed reports in order to meet deadlines.",Must,5,Product Owner,Development,1,"The design aligns well with our goals, but testing needs more focus.",Neutral,90.22,20269.15,93.97,21947.7,"{'developer': 'intermediate', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'beginner'}"
2255,"As a stakeholder, I am required to review requirements to achieve meet deadlines.",Should,6,Tester,Testing,1,"The interface is user-friendly, but performance needs improvement.",Neutral,21.76,12010.49,30.57,11624.64,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'expert'}"
2256,"As a designer, I want to review requirements so that deliver value.",Must,9,Manager,Deployment,4,We are satisfied with the current functionality.,Neutral,34.79,22890.9,30.36,22097.61,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'intermediate'}"
2257,"As a stakeholder, I am required to deploy the software to achieve deliver value.",Won't,3,Tester,Development,4,The feature works great but could use some improvement.,Positive,64.37,29878.65,60.88,30187.52,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'expert', 'designer': 'expert'}"
2258,"As a stakeholder, I need review the user stories to meet deadlines.",Should,7,Product Owner,Deployment,2,This part of the system needs a complete overhaul.,Negative,48.49,8891.21,53.24,10406.47,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'intermediate'}"
2259,"As a stakeholder, I am required to test the application thoroughly to achieve ensure quality.",Should,8,Tester,Development,4,"Not satisfied with the outcome, requires a fix.",Neutral,61.65,17702.09,58.72,16818.55,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'intermediate'}"
2260,"As a stakeholder, I need validate the design to deliver value.",Must,4,Manager,Deployment,2,"Not satisfied with the outcome, requires a fix.",Neutral,50.44,18615.57,47.79,19458.14,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'expert', 'designer': 'beginner'}"
2261,"As a developer, I must design the interface in order to achieve business goals.",Must,2,Tester,Development,4,"The design aligns well with our goals, but testing needs more focus.",Neutral,81.23,41913.9,85.33,41894.86,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'intermediate'}"
2262,"As a stakeholder, I want to review requirements so that meet deadlines.",Should,8,Tester,Sprint Planning,5,The feature works great but could use some improvement.,Positive,14.79,11464.74,10.42,10848.45,"{'developer': 'intermediate', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'expert'}"
2263,"As a manager, I must deploy the software in order to meet deadlines.",Won't,1,Product Owner,Deployment,1,"Not satisfied with the outcome, requires a fix.",Neutral,36.83,7520.02,45.99,8134.09,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'expert'}"
2264,"As a developer, I am required to design the interface to achieve deliver value.",Must,3,Manager,Sprint Planning,3,Excellent implementation! Great work.,Neutral,40.28,20422.33,44.84,22148.58,"{'developer': 'expert', 'tester': 'expert', 'manager': 'expert', 'designer': 'intermediate'}"
2265,"As a product owner, I am required to plan the sprint to achieve satisfy clients.",Could,5,Developer,Development,5,"The interface is user-friendly, but performance needs improvement.",Neutral,24.47,16643.55,30.91,16745.2,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'intermediate'}"
2266,"As a designer, I must review requirements in order to deliver value.",Must,8,Developer,Development,4,This part of the system needs a complete overhaul.,Negative,31.64,17584.49,28.35,18356.89,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'intermediate'}"
2267,"As a product owner, I wish to design the interface so I can achieve business goals.",Must,9,Product Owner,Sprint Planning,2,We are satisfied with the current functionality.,Neutral,35.25,11348.32,36.12,11460.88,"{'developer': 'intermediate', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'beginner'}"
2268,"As a tester, I wish to test the application thoroughly so I can achieve business goals.",Should,8,Product Owner,Deployment,1,This part of the system needs a complete overhaul.,Negative,53.49,7546.41,50.82,7114.75,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'expert'}"
2269,"As a stakeholder, I need collaborate with the team to ensure quality.",Should,6,Developer,Testing,4,"Not satisfied with the outcome, requires a fix.",Neutral,73.04,25019.15,76.27,24856.17,"{'developer': 'expert', 'tester': 'expert', 'manager': 'expert', 'designer': 'expert'}"
2270,"As a designer, I need use advanced tools to achieve business goals.",Must,7,Developer,Deployment,2,This part of the system needs a complete overhaul.,Negative,100.08,37630.22,104.38,37305.49,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'expert', 'designer': 'expert'}"
2271,"As a stakeholder, I must create detailed reports in order to satisfy clients.",Must,6,Tester,Sprint Planning,4,"The design aligns well with our goals, but testing needs more focus.",Neutral,40.31,17633.87,49.34,19128.76,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'expert', 'designer': 'intermediate'}"
2272,"As a tester, I am required to deploy the software to achieve deliver value.",Should,3,Product Owner,Development,1,"The design aligns well with our goals, but testing needs more focus.",Neutral,37.32,19238.89,45.85,21029.52,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'expert', 'designer': 'intermediate'}"
2273,"As a stakeholder, I want to plan the sprint so that achieve business goals.",Could,9,Developer,Testing,4,"The design aligns well with our goals, but testing needs more focus.",Neutral,3.07,11101.17,6.51,11254.5,"{'developer': 'beginner', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'intermediate'}"
2274,"As a tester, I am required to create detailed reports to achieve meet deadlines.",Must,2,Tester,Deployment,3,"The interface is user-friendly, but performance needs improvement.",Neutral,87.11,48006.15,83.29,48299.41,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'intermediate'}"
2275,"As a developer, I wish to review requirements so I can achieve business goals.",Should,7,Manager,Testing,1,This part of the system needs a complete overhaul.,Negative,72.96,18500.76,73.3,19234.58,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'beginner'}"
2276,"As a developer, I want to create detailed reports so that ensure quality.",Must,8,Product Owner,Development,2,"Not satisfied with the outcome, requires a fix.",Neutral,37.29,11265.92,32.39,11295.65,"{'developer': 'intermediate', 'tester': 'beginner', 'manager': 'expert', 'designer': 'intermediate'}"
2277,"As a designer, I want to review requirements so that satisfy clients.",Must,6,Tester,Sprint Planning,1,"The design aligns well with our goals, but testing needs more focus.",Neutral,104.56,15443.74,102.42,17341.7,"{'developer': 'expert', 'tester': 'expert', 'manager': 'expert', 'designer': 'expert'}"
2278,"As a stakeholder, I want to plan the sprint so that enhance usability.",Could,3,Developer,Sprint Planning,4,We are satisfied with the current functionality.,Neutral,70.87,26718.25,80.29,26433.4,"{'developer': 'intermediate', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'intermediate'}"
2279,"As a tester, I need review the user stories to meet deadlines.",Should,10,Developer,Testing,3,"Not satisfied with the outcome, requires a fix.",Neutral,27.34,20283.22,36.18,21103.86,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'expert'}"
2280,"As a tester, I want to deploy the software so that satisfy clients.",Should,10,Tester,Deployment,3,"Not satisfied with the outcome, requires a fix.",Neutral,87.64,44345.53,87.66,43435.86,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'intermediate'}"
2281,"As a stakeholder, I want to design the interface so that meet deadlines.",Must,2,Developer,Testing,1,We are satisfied with the current functionality.,Neutral,65.3,29915.84,73.29,30128.05,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'expert'}"
2282,"As a product owner, I want to create detailed reports so that enhance usability.",Must,3,Manager,Testing,5,Excellent implementation! Great work.,Neutral,96.13,35804.91,104.25,36965.63,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'expert', 'designer': 'beginner'}"
2283,"As a developer, I need manage tasks effectively to enhance usability.",Must,1,Manager,Sprint Planning,1,The feature works great but could use some improvement.,Positive,39.71,8256.58,45.22,9630.49,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'beginner'}"
2284,"As a stakeholder, I need access the test environment to satisfy clients.",Should,2,Tester,Development,2,This part of the system needs a complete overhaul.,Negative,79.31,41632.63,82.72,41767.74,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'expert', 'designer': 'intermediate'}"
2285,"As a developer, I need use advanced tools to meet deadlines.",Won't,1,Manager,Deployment,4,"The design aligns well with our goals, but testing needs more focus.",Neutral,57.26,37156.13,61.97,38188.81,"{'developer': 'beginner', 'tester': 'expert', 'manager': 'expert', 'designer': 'expert'}"
2286,"As a product owner, I want to deploy the software so that deliver value.",Won't,3,Tester,Sprint Planning,2,"The interface is user-friendly, but performance needs improvement.",Neutral,35.29,13950.65,44.61,15879.85,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'intermediate'}"
2287,"As a designer, I must create detailed reports in order to satisfy clients.",Must,5,Manager,Sprint Planning,5,"The interface is user-friendly, but performance needs improvement.",Neutral,2.74,14467.41,10.04,15701.58,"{'developer': 'expert', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'intermediate'}"
2288,"As a manager, I wish to design the interface so I can enhance usability.",Must,9,Tester,Testing,3,We are satisfied with the current functionality.,Neutral,37.72,23981.43,44.59,24009.42,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'expert'}"
2289,"As a manager, I want to create detailed reports so that achieve business goals.",Must,4,Product Owner,Sprint Planning,4,Excellent implementation! Great work.,Neutral,41.72,20948.15,41.19,20059.56,"{'developer': 'intermediate', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'beginner'}"
2290,"As a manager, I want to test the application thoroughly so that deliver value.",Should,6,Product Owner,Deployment,5,Excellent implementation! Great work.,Neutral,48.13,33861.47,44.26,34097.47,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'beginner'}"
2291,"As a developer, I wish to review requirements so I can meet deadlines.",Should,8,Tester,Development,1,"The design aligns well with our goals, but testing needs more focus.",Neutral,103.9,45697.7,112.35,45697.54,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'beginner'}"
2292,"As a manager, I need validate the design to deliver value.",Must,9,Developer,Sprint Planning,1,The feature works great but could use some improvement.,Positive,25.31,9056.65,26.88,9173.85,"{'developer': 'intermediate', 'tester': 'expert', 'manager': 'expert', 'designer': 'expert'}"
2293,"As a designer, I wish to deploy the software so I can satisfy clients.",Won't,6,Tester,Sprint Planning,1,"Not satisfied with the outcome, requires a fix.",Neutral,14.99,7963.41,15.0,7591.42,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'expert'}"
2294,"As a designer, I must deploy the software in order to deliver value.",Won't,6,Tester,Sprint Planning,4,This part of the system needs a complete overhaul.,Negative,35.47,16082.21,34.93,15832.42,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'intermediate'}"
2295,"As a designer, I want to create detailed reports so that deliver value.",Must,10,Manager,Testing,1,We are satisfied with the current functionality.,Neutral,107.14,15862.12,106.33,17522.84,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'expert'}"
2296,"As a manager, I wish to plan the sprint so I can satisfy clients.",Could,7,Developer,Deployment,3,"The design aligns well with our goals, but testing needs more focus.",Neutral,46.85,16895.69,46.57,16186.62,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'expert'}"
2297,"As a stakeholder, I need review the user stories to meet deadlines.",Should,4,Developer,Development,3,The feature works great but could use some improvement.,Positive,21.26,14362.16,18.1,16266.0,"{'developer': 'intermediate', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'intermediate'}"
2298,"As a manager, I need collaborate with the team to deliver value.",Won't,8,Tester,Deployment,4,We are satisfied with the current functionality.,Neutral,66.9,28268.35,68.0,27982.27,"{'developer': 'beginner', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'intermediate'}"
2299,"As a tester, I want to test the application thoroughly so that ensure quality.",Should,4,Manager,Sprint Planning,1,"The interface is user-friendly, but performance needs improvement.",Neutral,49.18,6772.51,58.66,5909.84,"{'developer': 'expert', 'tester': 'expert', 'manager': 'expert', 'designer': 'beginner'}"
2300,"As a product owner, I need use advanced tools to ensure quality.",Could,2,Developer,Development,2,"The interface is user-friendly, but performance needs improvement.",Neutral,34.85,16047.65,36.77,17855.04,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'expert', 'designer': 'beginner'}"
2301,"As a tester, I wish to create detailed reports so I can enhance usability.",Must,3,Developer,Development,4,The feature works great but could use some improvement.,Positive,64.34,23645.79,70.54,24477.64,"{'developer': 'intermediate', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'beginner'}"
2302,"As a product owner, I wish to design the interface so I can satisfy clients.",Must,2,Tester,Development,1,This part of the system needs a complete overhaul.,Negative,65.67,20996.72,62.17,20155.16,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'beginner'}"
2303,"As a manager, I must design the interface in order to ensure quality.",Must,10,Manager,Testing,1,"The design aligns well with our goals, but testing needs more focus.",Neutral,106.97,31144.03,113.12,32716.35,"{'developer': 'intermediate', 'tester': 'expert', 'manager': 'expert', 'designer': 'beginner'}"
2304,"As a designer, I must design the interface in order to enhance usability.",Must,7,Product Owner,Sprint Planning,5,"Not satisfied with the outcome, requires a fix.",Neutral,32.55,25899.43,32.79,27148.39,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'beginner'}"
2305,"As a tester, I must create detailed reports in order to satisfy clients.",Must,1,Developer,Deployment,1,"Not satisfied with the outcome, requires a fix.",Neutral,69.91,29424.23,79.41,28857.6,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'intermediate'}"
2306,"As a developer, I want to design the interface so that satisfy clients.",Must,5,Developer,Sprint Planning,2,"Not satisfied with the outcome, requires a fix.",Neutral,49.91,26348.1,52.96,25820.77,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'beginner'}"
2307,"As a developer, I am required to test the application thoroughly to achieve ensure quality.",Should,2,Product Owner,Sprint Planning,1,The feature works great but could use some improvement.,Positive,75.38,40307.78,77.83,40639.83,"{'developer': 'expert', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'beginner'}"
2308,"As a developer, I want to deploy the software so that deliver value.",Won't,8,Manager,Testing,1,We are satisfied with the current functionality.,Neutral,8.63,8288.65,15.86,8633.15,"{'developer': 'intermediate', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'beginner'}"
2309,"As a designer, I wish to review requirements so I can achieve business goals.",Must,10,Manager,Development,1,The feature works great but could use some improvement.,Positive,96.67,48769.87,96.17,50614.29,"{'developer': 'beginner', 'tester': 'expert', 'manager': 'expert', 'designer': 'expert'}"
2310,"As a stakeholder, I am required to plan the sprint to achieve satisfy clients.",Could,10,Tester,Deployment,4,"The design aligns well with our goals, but testing needs more focus.",Neutral,82.56,34946.62,87.45,36479.25,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'beginner'}"
2311,"As a manager, I am required to test the application thoroughly to achieve deliver value.",Should,7,Tester,Deployment,4,The feature works great but could use some improvement.,Positive,26.58,17869.98,34.23,18026.77,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'expert', 'designer': 'intermediate'}"
2312,"As a developer, I want to test the application thoroughly so that satisfy clients.",Should,10,Tester,Deployment,5,Excellent implementation! Great work.,Neutral,15.73,16902.28,21.53,16495.47,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'beginner'}"
2313,"As a developer, I want to design the interface so that enhance usability.",Must,10,Tester,Deployment,4,Excellent implementation! Great work.,Neutral,104.57,48404.16,109.27,50145.86,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'intermediate'}"
2314,"As a developer, I wish to review requirements so I can satisfy clients.",Should,10,Product Owner,Sprint Planning,4,"The design aligns well with our goals, but testing needs more focus.",Neutral,85.82,27369.42,92.18,27639.49,"{'developer': 'expert', 'tester': 'expert', 'manager': 'expert', 'designer': 'beginner'}"
2315,"As a developer, I must test the application thoroughly in order to meet deadlines.",Should,1,Manager,Sprint Planning,1,Excellent implementation! Great work.,Neutral,19.25,6019.48,14.46,7795.55,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'beginner'}"
2316,"As a manager, I wish to test the application thoroughly so I can deliver value.",Should,4,Developer,Deployment,1,"The interface is user-friendly, but performance needs improvement.",Neutral,69.39,16410.93,76.5,18167.89,"{'developer': 'expert', 'tester': 'expert', 'manager': 'expert', 'designer': 'expert'}"
2317,"As a product owner, I am required to test the application thoroughly to achieve enhance usability.",Should,6,Product Owner,Testing,1,We are satisfied with the current functionality.,Neutral,84.21,37918.19,84.78,37394.75,"{'developer': 'intermediate', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'beginner'}"
2318,"As a product owner, I want to design the interface so that meet deadlines.",Must,7,Tester,Sprint Planning,1,We are satisfied with the current functionality.,Neutral,104.53,46744.84,104.32,47404.51,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'beginner'}"
2319,"As a tester, I must plan the sprint in order to satisfy clients.",Should,1,Manager,Development,1,"The design aligns well with our goals, but testing needs more focus.",Neutral,50.43,16951.03,57.72,16463.73,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'intermediate'}"
2320,"As a designer, I must create detailed reports in order to ensure quality.",Must,5,Tester,Testing,1,The feature works great but could use some improvement.,Positive,102.44,56556.99,103.56,55618.26,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'beginner'}"
2321,"As a developer, I am required to design the interface to achieve satisfy clients.",Must,1,Product Owner,Deployment,1,This part of the system needs a complete overhaul.,Negative,34.38,8452.43,35.76,9958.51,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'expert', 'designer': 'expert'}"
2322,"As a developer, I wish to deploy the software so I can ensure quality.",Won't,9,Developer,Sprint Planning,3,"The design aligns well with our goals, but testing needs more focus.",Neutral,47.14,13455.33,49.57,15135.4,"{'developer': 'intermediate', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'beginner'}"
2323,"As a manager, I want to design the interface so that ensure quality.",Must,7,Manager,Development,2,Excellent implementation! Great work.,Neutral,72.99,15823.36,68.57,15595.06,"{'developer': 'beginner', 'tester': 'expert', 'manager': 'expert', 'designer': 'beginner'}"
2324,"As a tester, I must test the application thoroughly in order to enhance usability.",Should,6,Developer,Sprint Planning,3,"Not satisfied with the outcome, requires a fix.",Neutral,99.66,40910.01,97.3,40816.6,"{'developer': 'intermediate', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'beginner'}"
2325,"As a stakeholder, I want to test the application thoroughly so that enhance usability.",Should,2,Product Owner,Sprint Planning,5,This part of the system needs a complete overhaul.,Negative,41.34,33720.71,50.6,34297.19,"{'developer': 'beginner', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'intermediate'}"
2326,"As a stakeholder, I wish to create detailed reports so I can achieve business goals.",Must,3,Manager,Sprint Planning,1,Excellent implementation! Great work.,Neutral,96.88,28866.97,99.57,28573.76,"{'developer': 'beginner', 'tester': 'expert', 'manager': 'expert', 'designer': 'beginner'}"
2327,"As a tester, I am required to test the application thoroughly to achieve ensure quality.",Should,3,Tester,Development,1,We are satisfied with the current functionality.,Neutral,116.5,44188.54,117.34,44280.19,"{'developer': 'beginner', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'expert'}"
2328,"As a stakeholder, I want to review requirements so that achieve business goals.",Should,4,Product Owner,Deployment,4,The feature works great but could use some improvement.,Positive,103.82,40439.91,102.44,41347.9,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'beginner'}"
2329,"As a product owner, I need validate the design to achieve business goals.",Must,6,Product Owner,Deployment,1,"The design aligns well with our goals, but testing needs more focus.",Neutral,35.5,8109.03,38.81,8304.31,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'expert'}"
2330,"As a tester, I need review the user stories to meet deadlines.",Should,3,Product Owner,Testing,2,Excellent implementation! Great work.,Neutral,34.13,16476.21,41.55,17577.7,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'expert'}"
2331,"As a manager, I wish to create detailed reports so I can deliver value.",Must,7,Manager,Deployment,4,The feature works great but could use some improvement.,Positive,72.06,36267.2,81.23,36910.72,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'intermediate'}"
2332,"As a developer, I want to deploy the software so that meet deadlines.",Won't,5,Product Owner,Sprint Planning,1,Excellent implementation! Great work.,Neutral,61.0,22274.85,58.54,21698.11,"{'developer': 'intermediate', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'intermediate'}"
2333,"As a tester, I wish to plan the sprint so I can enhance usability.",Should,7,Manager,Development,1,The feature works great but could use some improvement.,Positive,114.78,39522.48,124.23,40277.68,"{'developer': 'expert', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'beginner'}"
2334,"As a tester, I am required to design the interface to achieve satisfy clients.",Should,5,Developer,Development,4,The feature works great but could use some improvement.,Positive,36.48,14282.19,37.3,13836.5,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'intermediate'}"
2335,"As a developer, I wish to review requirements so I can meet deadlines.",Should,4,Manager,Sprint Planning,5,"Not satisfied with the outcome, requires a fix.",Neutral,12.32,10306.02,19.57,10979.57,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'beginner'}"
2336,"As a manager, I am required to create detailed reports to achieve achieve business goals.",Must,2,Product Owner,Testing,1,"The interface is user-friendly, but performance needs improvement.",Neutral,18.52,14693.91,23.79,16548.89,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'expert', 'designer': 'beginner'}"
2337,"As a developer, I wish to plan the sprint so I can meet deadlines.",Could,3,Tester,Testing,2,Excellent implementation! Great work.,Neutral,79.21,22329.69,77.92,23167.61,"{'developer': 'expert', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'intermediate'}"
2338,"As a product owner, I am required to design the interface to achieve achieve business goals.",Must,3,Product Owner,Deployment,2,"The design aligns well with our goals, but testing needs more focus.",Neutral,50.05,25638.46,55.14,26418.59,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'beginner'}"
2339,"As a product owner, I want to design the interface so that enhance usability.",Must,5,Developer,Deployment,1,"The design aligns well with our goals, but testing needs more focus.",Neutral,46.2,23806.57,46.23,25455.33,"{'developer': 'intermediate', 'tester': 'expert', 'manager': 'expert', 'designer': 'expert'}"
2340,"As a developer, I am required to plan the sprint to achieve achieve business goals.",Could,8,Manager,Deployment,1,"The design aligns well with our goals, but testing needs more focus.",Neutral,99.68,26801.29,101.87,28156.73,"{'developer': 'beginner', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'beginner'}"
2341,"As a developer, I must plan the sprint in order to meet deadlines.",Could,3,Developer,Deployment,3,"The interface is user-friendly, but performance needs improvement.",Neutral,4.57,10040.73,1.23,11499.17,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'expert'}"
2342,"As a product owner, I want to plan the sprint so that deliver value.",Could,10,Manager,Sprint Planning,2,"The design aligns well with our goals, but testing needs more focus.",Neutral,68.3,26507.64,65.93,27430.44,"{'developer': 'intermediate', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'expert'}"
2343,"As a developer, I must design the interface in order to deliver value.",Must,3,Manager,Development,4,"Not satisfied with the outcome, requires a fix.",Neutral,68.39,33490.53,66.68,34670.43,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'intermediate'}"
2344,"As a stakeholder, I am required to review requirements to achieve achieve business goals.",Should,6,Product Owner,Development,1,This part of the system needs a complete overhaul.,Negative,118.57,45962.61,122.44,45455.95,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'intermediate'}"
2345,"As a developer, I need review the user stories to achieve business goals.",Should,6,Developer,Deployment,1,This part of the system needs a complete overhaul.,Negative,30.42,9262.58,33.7,9967.78,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'expert', 'designer': 'expert'}"
2346,"As a designer, I want to review requirements so that ensure quality.",Must,9,Tester,Deployment,1,"Not satisfied with the outcome, requires a fix.",Neutral,81.02,24702.67,80.26,23903.45,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'beginner'}"
2347,"As a stakeholder, I must review requirements in order to achieve business goals.",Should,3,Product Owner,Sprint Planning,1,"Not satisfied with the outcome, requires a fix.",Neutral,36.18,10060.31,43.22,11555.35,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'expert'}"
2348,"As a product owner, I want to create detailed reports so that deliver value.",Must,8,Developer,Sprint Planning,2,"The interface is user-friendly, but performance needs improvement.",Neutral,37.22,23988.11,45.0,23380.04,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'expert'}"
2349,"As a developer, I must design the interface in order to achieve business goals.",Must,7,Product Owner,Development,5,Excellent implementation! Great work.,Neutral,67.72,40632.25,75.35,41764.23,"{'developer': 'intermediate', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'expert'}"
2350,"As a designer, I need review the user stories to enhance usability.",Must,5,Product Owner,Testing,2,Excellent implementation! Great work.,Neutral,9.91,12893.33,19.29,13789.38,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'expert'}"
2351,"As a tester, I want to deploy the software so that ensure quality.",Should,4,Developer,Deployment,2,This part of the system needs a complete overhaul.,Negative,23.55,13524.52,31.69,14787.96,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'expert', 'designer': 'expert'}"
2352,"As a product owner, I wish to plan the sprint so I can meet deadlines.",Could,1,Tester,Sprint Planning,2,"The design aligns well with our goals, but testing needs more focus.",Neutral,110.16,23792.44,119.32,22925.16,"{'developer': 'beginner', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'expert'}"
